country, value, units, quarter, value$
"Cyprus", "Nominal", "Index, 2010 = 100", "2012-Q2", 91.67
"Cyprus", "Nominal", "Index, 2010 = 100", "2012-Q3", 90.76
"Cyprus", "Nominal", "Index, 2010 = 100", "2012-Q4", 90.16
"Cyprus", "Nominal", "Index, 2010 = 100", "2013-Q1", 88.76
"Cyprus", "Nominal", "Index, 2010 = 100", "2013-Q2", 86.65
"Cyprus", "Nominal", "Index, 2010 = 100", "2013-Q3", 84.54
"Cyprus", "Nominal", "Index, 2010 = 100", "2013-Q4", 82.43
"Cyprus", "Nominal", "Index, 2010 = 100", "2014-Q1", 80.32
"Cyprus", "Nominal", "Index, 2010 = 100", "2014-Q2", 78.71
"Cyprus", "Nominal", "Index, 2010 = 100", "2014-Q3", 77.41
"Cyprus", "Nominal", "Index, 2010 = 100", "2014-Q4", 75.9
"Cyprus", "Nominal", "Index, 2010 = 100", "2015-Q1", 75.1
"Cyprus", "Nominal", "Index, 2010 = 100", "2015-Q2", 74.8
"Cyprus", "Nominal", "Index, 2010 = 100", "2015-Q3", 74.5
"Cyprus", "Nominal", "Index, 2010 = 100", "2015-Q4", 74.5
"Cyprus", "Nominal", "Index, 2010 = 100", "2016-Q1", 73.9
"Cyprus", "Nominal", "Index, 2010 = 100", "2016-Q2", 73.49
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2003-Q1", 4.71
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2003-Q2", 6.31
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2003-Q3", 2.54
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2003-Q4", 4.01
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2004-Q1", 19.27
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2004-Q2", 22.67
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2004-Q3", 24.38
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2004-Q4", 26.77
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2005-Q1", 12.03
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2005-Q2", 10.88
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2005-Q3", 7.97
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2005-Q4", 6.56
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2006-Q1", 9.13
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2006-Q2", 12.46
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2006-Q3", 12.92
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2006-Q4", 17.42
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2007-Q1", 21.44
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2007-Q2", 23.96
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2007-Q3", 25.34
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2007-Q4", 22.12
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2008-Q1", 25.27
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2008-Q2", 19.44
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2008-Q3", 17.07
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2008-Q4", 9.74
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2009-Q1", -4.15
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2009-Q2", -6.36
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2009-Q3", -6.5
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2009-Q4", -1.91
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2010-Q1", 0.7
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2010-Q2", -0.5
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2010-Q3", -0.99
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2010-Q4", -3.6
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2011-Q1", -1.9
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2011-Q2", -2.61
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2011-Q3", -3.81
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2011-Q4", -4.94
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2012-Q1", -4.99
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2012-Q2", -5.88
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2012-Q3", -5.74
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2012-Q4", -4.67
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2013-Q1", -5.15
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2013-Q2", -5.48
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2013-Q3", -6.86
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2013-Q4", -8.57
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2014-Q1", -9.5
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2014-Q2", -9.15
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2014-Q3", -8.43
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2014-Q4", -7.92
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2015-Q1", -6.5
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2015-Q2", -4.97
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2015-Q3", -3.76
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2015-Q4", -1.85
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2016-Q1", -1.6
"Cyprus", "Nominal", "Year-on-year changes, in per cent", "2016-Q2", -1.74
"Cyprus", "Real", "Index, 2010 = 100", "2002-Q1", 56.26
"Cyprus", "Real", "Index, 2010 = 100", "2002-Q2", 55.17
"Cyprus", "Real", "Index, 2010 = 100", "2002-Q3", 58.29
"Cyprus", "Real", "Index, 2010 = 100", "2002-Q4", 57.53
"Cyprus", "Real", "Index, 2010 = 100", "2003-Q1", 56.2
"Cyprus", "Real", "Index, 2010 = 100", "2003-Q2", 55.91
"Cyprus", "Real", "Index, 2010 = 100", "2003-Q3", 57.86
"Cyprus", "Real", "Index, 2010 = 100", "2003-Q4", 57.79
"Cyprus", "Real", "Index, 2010 = 100", "2004-Q1", 66.13
"Cyprus", "Real", "Index, 2010 = 100", "2004-Q2", 67.52
"Cyprus", "Real", "Index, 2010 = 100", "2004-Q3", 69.91
"Cyprus", "Real", "Index, 2010 = 100", "2004-Q4", 70.97
"Cyprus", "Real", "Index, 2010 = 100", "2005-Q1", 71.92
"Cyprus", "Real", "Index, 2010 = 100", "2005-Q2", 72.95
"Cyprus", "Real", "Index, 2010 = 100", "2005-Q3", 74.1
"Cyprus", "Real", "Index, 2010 = 100", "2005-Q4", 73.59
"Cyprus", "Real", "Index, 2010 = 100", "2006-Q1", 76.42
"Cyprus", "Real", "Index, 2010 = 100", "2006-Q2", 79.62
"Cyprus", "Real", "Index, 2010 = 100", "2006-Q3", 81.32
"Cyprus", "Real", "Index, 2010 = 100", "2006-Q4", 85.23
"Cyprus", "Real", "Index, 2010 = 100", "2007-Q1", 91.41
"Cyprus", "Real", "Index, 2010 = 100", "2007-Q2", 96.82
"Cyprus", "Real", "Index, 2010 = 100", "2007-Q3", 99.43
"Cyprus", "Real", "Index, 2010 = 100", "2007-Q4", 100.59
"Cyprus", "Real", "Index, 2010 = 100", "2008-Q1", 109.42
"Cyprus", "Real", "Index, 2010 = 100", "2008-Q2", 110.12
"Cyprus", "Real", "Index, 2010 = 100", "2008-Q3", 110.38
"Cyprus", "Real", "Index, 2010 = 100", "2008-Q4", 106.56
"Cyprus", "Real", "Index, 2010 = 100", "2009-Q1", 103.89
"Cyprus", "Real", "Index, 2010 = 100", "2009-Q2", 102.58
"Cyprus", "Real", "Index, 2010 = 100", "2009-Q3", 104.25
"Cyprus", "Real", "Index, 2010 = 100", "2009-Q4", 103.63
"Cyprus", "Real", "Index, 2010 = 100", "2010-Q1", 102.0
"Cyprus", "Real", "Index, 2010 = 100", "2010-Q2", 100.08
"Cyprus", "Real", "Index, 2010 = 100", "2010-Q3", 100.1
"Cyprus", "Real", "Index, 2010 = 100", "2010-Q4", 97.89
"Cyprus", "Real", "Index, 2010 = 100", "2011-Q1", 97.33
"Cyprus", "Real", "Index, 2010 = 100", "2011-Q2", 93.91
"Cyprus", "Real", "Index, 2010 = 100", "2011-Q3", 93.49
"Cyprus", "Real", "Index, 2010 = 100", "2011-Q4", 89.84
"Cyprus", "Real", "Index, 2010 = 100", "2012-Q1", 89.61
"Cyprus", "Real", "Index, 2010 = 100", "2012-Q2", 86.16
"Cyprus", "Real", "Index, 2010 = 100", "2012-Q3", 86.02
"Cyprus", "Real", "Index, 2010 = 100", "2012-Q4", 84.51
"Cyprus", "Real", "Index, 2010 = 100", "2013-Q1", 83.73
"Cyprus", "Real", "Index, 2010 = 100", "2013-Q2", 81.69
"Cyprus", "Real", "Index, 2010 = 100", "2013-Q3", 80.74
"Cyprus", "Real", "Index, 2010 = 100", "2013-Q4", 78.84
"Cyprus", "Real", "Index, 2010 = 100", "2014-Q1", 77.78
"Cyprus", "Real", "Index, 2010 = 100", "2014-Q2", 75.25
"Cyprus", "Real", "Index, 2010 = 100", "2014-Q3", 74.48
"Cyprus", "Real", "Index, 2010 = 100", "2014-Q4", 73.11
"Cyprus", "Real", "Index, 2010 = 100", "2015-Q1", 73.93
"Cyprus", "Real", "Index, 2010 = 100", "2015-Q2", 73.04
"Cyprus", "Real", "Index, 2010 = 100", "2015-Q3", 73.84
"Cyprus", "Real", "Index, 2010 = 100", "2015-Q4", 73.02
"Cyprus", "Real", "Index, 2010 = 100", "2016-Q1", 74.34
"Cyprus", "Real", "Index, 2010 = 100", "2016-Q2", 73.41
"Cyprus", "Real", "Year-on-year changes, in per cent", "2003-Q1", -0.12
"Cyprus", "Real", "Year-on-year changes, in per cent", "2003-Q2", 1.33
"Cyprus", "Real", "Year-on-year changes, in per cent", "2003-Q3", -0.74
"Cyprus", "Real", "Year-on-year changes, in per cent", "2003-Q4", 0.45
"Cyprus", "Real", "Year-on-year changes, in per cent", "2004-Q1", 17.68
"Cyprus", "Real", "Year-on-year changes, in per cent", "2004-Q2", 20.76
"Cyprus", "Real", "Year-on-year changes, in per cent", "2004-Q3", 20.82
"Cyprus", "Real", "Year-on-year changes, in per cent", "2004-Q4", 22.8
"Cyprus", "Real", "Year-on-year changes, in per cent", "2005-Q1", 8.76
"Cyprus", "Real", "Year-on-year changes, in per cent", "2005-Q2", 8.05
"Cyprus", "Real", "Year-on-year changes, in per cent", "2005-Q3", 6.0
"Cyprus", "Real", "Year-on-year changes, in per cent", "2005-Q4", 3.69
"Cyprus", "Real", "Year-on-year changes, in per cent", "2006-Q1", 6.25
"Cyprus", "Real", "Year-on-year changes, in per cent", "2006-Q2", 9.14
"Cyprus", "Real", "Year-on-year changes, in per cent", "2006-Q3", 9.75
"Cyprus", "Real", "Year-on-year changes, in per cent", "2006-Q4", 15.82
"Cyprus", "Real", "Year-on-year changes, in per cent", "2007-Q1", 19.62
"Cyprus", "Real", "Year-on-year changes, in per cent", "2007-Q2", 21.6
"Cyprus", "Real", "Year-on-year changes, in per cent", "2007-Q3", 22.27
"Cyprus", "Real", "Year-on-year changes, in per cent", "2007-Q4", 18.02
"Cyprus", "Real", "Year-on-year changes, in per cent", "2008-Q1", 19.7
"Cyprus", "Real", "Year-on-year changes, in per cent", "2008-Q2", 13.74
"Cyprus", "Real", "Year-on-year changes, in per cent", "2008-Q3", 11.01
"Cyprus", "Real", "Year-on-year changes, in per cent", "2008-Q4", 5.94
"Cyprus", "Real", "Year-on-year changes, in per cent", "2009-Q1", -5.05
"Cyprus", "Real", "Year-on-year changes, in per cent", "2009-Q2", -6.84
"Cyprus", "Real", "Year-on-year changes, in per cent", "2009-Q3", -5.55
"Cyprus", "Real", "Year-on-year changes, in per cent", "2009-Q4", -2.75
"Cyprus", "Real", "Year-on-year changes, in per cent", "2010-Q1", -1.82
"Cyprus", "Real", "Year-on-year changes, in per cent", "2010-Q2", -2.44
"Cyprus", "Real", "Year-on-year changes, in per cent", "2010-Q3", -3.99
"Cyprus", "Real", "Year-on-year changes, in per cent", "2010-Q4", -5.54
"Cyprus", "Real", "Year-on-year changes, in per cent", "2011-Q1", -4.58
"Cyprus", "Real", "Year-on-year changes, in per cent", "2011-Q2", -6.16
"Cyprus", "Real", "Year-on-year changes, in per cent", "2011-Q3", -6.6
"Cyprus", "Real", "Year-on-year changes, in per cent", "2011-Q4", -8.23
"Cyprus", "Real", "Year-on-year changes, in per cent", "2012-Q1", -7.93
"Cyprus", "Real", "Year-on-year changes, in per cent", "2012-Q2", -8.26
"Cyprus", "Real", "Year-on-year changes, in per cent", "2012-Q3", -7.99
"Cyprus", "Real", "Year-on-year changes, in per cent", "2012-Q4", -5.93
"Cyprus", "Real", "Year-on-year changes, in per cent", "2013-Q1", -6.56
"Cyprus", "Real", "Year-on-year changes, in per cent", "2013-Q2", -5.19
"Cyprus", "Real", "Year-on-year changes, in per cent", "2013-Q3", -6.14
"Cyprus", "Real", "Year-on-year changes, in per cent", "2013-Q4", -6.71
"Cyprus", "Real", "Year-on-year changes, in per cent", "2014-Q1", -7.1
"Cyprus", "Real", "Year-on-year changes, in per cent", "2014-Q2", -7.88
"Cyprus", "Real", "Year-on-year changes, in per cent", "2014-Q3", -7.75
"Cyprus", "Real", "Year-on-year changes, in per cent", "2014-Q4", -7.27
"Cyprus", "Real", "Year-on-year changes, in per cent", "2015-Q1", -4.95
"Cyprus", "Real", "Year-on-year changes, in per cent", "2015-Q2", -2.94
"Cyprus", "Real", "Year-on-year changes, in per cent", "2015-Q3", -0.86
"Cyprus", "Real", "Year-on-year changes, in per cent", "2015-Q4", -0.12
"Cyprus", "Real", "Year-on-year changes, in per cent", "2016-Q1", 0.55
"Cyprus", "Real", "Year-on-year changes, in per cent", "2016-Q2", 0.52
"Czech Republic", "Nominal", "Index, 2010 = 100", "2008-Q1", 102.07
"Czech Republic", "Nominal", "Index, 2010 = 100", "2008-Q2", 106.17
"Czech Republic", "Nominal", "Index, 2010 = 100", "2008-Q3", 107.77
"Czech Republic", "Nominal", "Index, 2010 = 100", "2008-Q4", 107.27
"Czech Republic", "Nominal", "Index, 2010 = 100", "2009-Q1", 104.87
"Czech Republic", "Nominal", "Index, 2010 = 100", "2009-Q2", 101.57
"Czech Republic", "Nominal", "Index, 2010 = 100", "2009-Q3", 100.67
"Czech Republic", "Nominal", "Index, 2010 = 100", "2009-Q4", 99.98
"Czech Republic", "Nominal", "Index, 2010 = 100", "2010-Q1", 99.98
"Czech Republic", "Nominal", "Index, 2010 = 100", "2010-Q2", 100.18
"Czech Republic", "Nominal", "Index, 2010 = 100", "2010-Q3", 99.88
"Czech Republic", "Nominal", "Index, 2010 = 100", "2010-Q4", 99.98
"Czech Republic", "Nominal", "Index, 2010 = 100", "2011-Q1", 100.08
"Czech Republic", "Nominal", "Index, 2010 = 100", "2011-Q2", 100.67
"Czech Republic", "Nominal", "Index, 2010 = 100", "2011-Q3", 100.08
"Czech Republic", "Nominal", "Index, 2010 = 100", "2011-Q4", 99.08
"Czech Republic", "Nominal", "Index, 2010 = 100", "2012-Q1", 98.68
"Czech Republic", "Nominal", "Index, 2010 = 100", "2012-Q2", 98.68
"Czech Republic", "Nominal", "Index, 2010 = 100", "2012-Q3", 98.48
"Czech Republic", "Nominal", "Index, 2010 = 100", "2012-Q4", 98.38
"Czech Republic", "Nominal", "Index, 2010 = 100", "2013-Q1", 98.28
"Czech Republic", "Nominal", "Index, 2010 = 100", "2013-Q2", 98.78
"Czech Republic", "Nominal", "Index, 2010 = 100", "2013-Q3", 98.68
"Czech Republic", "Nominal", "Index, 2010 = 100", "2013-Q4", 98.48
"Czech Republic", "Nominal", "Index, 2010 = 100", "2014-Q1", 99.68
"Czech Republic", "Nominal", "Index, 2010 = 100", "2014-Q2", 100.57
"Czech Republic", "Nominal", "Index, 2010 = 100", "2014-Q3", 101.37
"Czech Republic", "Nominal", "Index, 2010 = 100", "2014-Q4", 102.17
"Czech Republic", "Nominal", "Index, 2010 = 100", "2015-Q1", 103.27
"Czech Republic", "Nominal", "Index, 2010 = 100", "2015-Q2", 104.37
"Czech Republic", "Nominal", "Index, 2010 = 100", "2015-Q3", 105.67
"Czech Republic", "Nominal", "Index, 2010 = 100", "2015-Q4", 106.77
"Czech Republic", "Nominal", "Index, 2010 = 100", "2016-Q1", 108.07
"Czech Republic", "Nominal", "Index, 2010 = 100", "2016-Q2", 110.27
"Czech Republic", "Nominal", "Index, 2010 = 100", "2016-Q3", 112.97
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2009-Q1", 2.74
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2009-Q2", -4.33
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2009-Q3", -6.59
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2009-Q4", -6.8
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2010-Q1", -4.67
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2010-Q2", -1.38
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2010-Q3", -0.79
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2010-Q4", 0.0
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2011-Q1", 0.1
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2011-Q2", 0.5
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2011-Q3", 0.2
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2011-Q4", -0.9
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2012-Q1", -1.4
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2012-Q2", -1.99
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2012-Q3", -1.6
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2012-Q4", -0.71
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2013-Q1", -0.41
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2013-Q2", 0.1
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2013-Q3", 0.2
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2013-Q4", 0.1
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2014-Q1", 1.42
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2014-Q2", 1.82
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2014-Q3", 2.74
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2014-Q4", 3.76
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2015-Q1", 3.61
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2015-Q2", 3.78
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2015-Q3", 4.24
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2015-Q4", 4.5
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2016-Q1", 4.65
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2016-Q2", 5.65
"Czech Republic", "Nominal", "Year-on-year changes, in per cent", "2016-Q3", 6.91
"Czech Republic", "Real", "Index, 2010 = 100", "2008-Q1", 105.43
"Czech Republic", "Real", "Index, 2010 = 100", "2008-Q2", 108.85
"Czech Republic", "Real", "Index, 2010 = 100", "2008-Q3", 109.74
"Czech Republic", "Real", "Index, 2010 = 100", "2008-Q4", 109.88
"Czech Republic", "Real", "Index, 2010 = 100", "2009-Q1", 106.07
"Czech Republic", "Real", "Index, 2010 = 100", "2009-Q2", 102.67
"Czech Republic", "Real", "Index, 2010 = 100", "2009-Q3", 102.36
"Czech Republic", "Real", "Index, 2010 = 100", "2009-Q4", 101.95
"Czech Republic", "Real", "Index, 2010 = 100", "2010-Q1", 100.43
"Czech Republic", "Real", "Index, 2010 = 100", "2010-Q2", 100.05
"Czech Republic", "Real", "Index, 2010 = 100", "2010-Q3", 99.64
"Czech Republic", "Real", "Index, 2010 = 100", "2010-Q4", 99.88
"Czech Republic", "Real", "Index, 2010 = 100", "2011-Q1", 98.81
"Czech Republic", "Real", "Index, 2010 = 100", "2011-Q2", 98.78
"Czech Republic", "Real", "Index, 2010 = 100", "2011-Q3", 98.1
"Czech Republic", "Real", "Index, 2010 = 100", "2011-Q4", 96.66
"Czech Republic", "Real", "Index, 2010 = 100", "2012-Q1", 93.98
"Czech Republic", "Real", "Index, 2010 = 100", "2012-Q2", 93.64
"Czech Republic", "Real", "Index, 2010 = 100", "2012-Q3", 93.45
"Czech Republic", "Real", "Index, 2010 = 100", "2012-Q4", 93.33
"Czech Republic", "Real", "Index, 2010 = 100", "2013-Q1", 91.97
"Czech Republic", "Real", "Index, 2010 = 100", "2013-Q2", 92.32
"Czech Republic", "Real", "Index, 2010 = 100", "2013-Q3", 92.5
"Czech Republic", "Real", "Index, 2010 = 100", "2013-Q4", 92.39
"Czech Republic", "Real", "Index, 2010 = 100", "2014-Q1", 93.11
"Czech Republic", "Real", "Index, 2010 = 100", "2014-Q2", 93.85
"Czech Republic", "Real", "Index, 2010 = 100", "2014-Q3", 94.46
"Czech Republic", "Real", "Index, 2010 = 100", "2014-Q4", 95.41
"Czech Republic", "Real", "Index, 2010 = 100", "2015-Q1", 96.36
"Czech Republic", "Real", "Index, 2010 = 100", "2015-Q2", 96.74
"Czech Republic", "Real", "Index, 2010 = 100", "2015-Q3", 98.07
"Czech Republic", "Real", "Index, 2010 = 100", "2015-Q4", 99.57
"Czech Republic", "Real", "Index, 2010 = 100", "2016-Q1", 100.38
"Czech Republic", "Real", "Index, 2010 = 100", "2016-Q2", 101.96
"Czech Republic", "Real", "Index, 2010 = 100", "2016-Q3", 104.31
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2009-Q1", 0.6
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2009-Q2", -5.68
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2009-Q3", -6.72
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2009-Q4", -7.22
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2010-Q1", -5.31
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2010-Q2", -2.55
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2010-Q3", -2.66
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2010-Q4", -2.03
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2011-Q1", -1.62
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2011-Q2", -1.27
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2011-Q3", -1.54
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2011-Q4", -3.23
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2012-Q1", -4.89
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2012-Q2", -5.2
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2012-Q3", -4.74
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2012-Q4", -3.44
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2013-Q1", -2.14
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2013-Q2", -1.42
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2013-Q3", -1.02
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2013-Q4", -1.02
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2014-Q1", 1.23
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2014-Q2", 1.66
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2014-Q3", 2.12
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2014-Q4", 3.28
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2015-Q1", 3.5
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2015-Q2", 3.08
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2015-Q3", 3.82
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2015-Q4", 4.36
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2016-Q1", 4.17
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2016-Q2", 5.4
"Czech Republic", "Real", "Year-on-year changes, in per cent", "2016-Q3", 6.36
"Germany", "Nominal", "Index, 2010 = 100", "2003-Q1", 93.44
"Germany", "Nominal", "Index, 2010 = 100", "2003-Q2", 92.79
"Germany", "Nominal", "Index, 2010 = 100", "2003-Q3", 92.69
"Germany", "Nominal", "Index, 2010 = 100", "2003-Q4", 93.25
"Germany", "Nominal", "Index, 2010 = 100", "2004-Q1", 93.16
"Germany", "Nominal", "Index, 2010 = 100", "2004-Q2", 93.72
"Germany", "Nominal", "Index, 2010 = 100", "2004-Q3", 93.62
"Germany", "Nominal", "Index, 2010 = 100", "2004-Q4", 94.28
"Germany", "Nominal", "Index, 2010 = 100", "2005-Q1", 97.72
"Germany", "Nominal", "Index, 2010 = 100", "2005-Q2", 96.32
"Germany", "Nominal", "Index, 2010 = 100", "2005-Q3", 97.44
"Germany", "Nominal", "Index, 2010 = 100", "2005-Q4", 96.79
"Germany", "Nominal", "Index, 2010 = 100", "2006-Q1", 96.04
"Germany", "Nominal", "Index, 2010 = 100", "2006-Q2", 97.35
"Germany", "Nominal", "Index, 2010 = 100", "2006-Q3", 98.28
"Germany", "Nominal", "Index, 2010 = 100", "2006-Q4", 97.25
"Germany", "Nominal", "Index, 2010 = 100", "2007-Q1", 96.7
"Germany", "Nominal", "Index, 2010 = 100", "2007-Q2", 96.6
"Germany", "Nominal", "Index, 2010 = 100", "2007-Q3", 97.25
"Germany", "Nominal", "Index, 2010 = 100", "2007-Q4", 97.44
"Germany", "Nominal", "Index, 2010 = 100", "2008-Q1", 99.49
"Germany", "Nominal", "Index, 2010 = 100", "2008-Q2", 100.23
"Germany", "Nominal", "Index, 2010 = 100", "2008-Q3", 99.67
"Germany", "Nominal", "Index, 2010 = 100", "2008-Q4", 100.33
"Germany", "Nominal", "Index, 2010 = 100", "2009-Q1", 100.14
"Germany", "Nominal", "Index, 2010 = 100", "2009-Q2", 99.12
"Germany", "Nominal", "Index, 2010 = 100", "2009-Q3", 99.12
"Germany", "Nominal", "Index, 2010 = 100", "2009-Q4", 99.58
"Germany", "Nominal", "Index, 2010 = 100", "2010-Q1", 98.65
"Germany", "Nominal", "Index, 2010 = 100", "2010-Q2", 99.77
"Germany", "Nominal", "Index, 2010 = 100", "2010-Q3", 100.51
"Germany", "Nominal", "Index, 2010 = 100", "2010-Q4", 101.07
"Germany", "Nominal", "Index, 2010 = 100", "2011-Q1", 101.72
"Germany", "Nominal", "Index, 2010 = 100", "2011-Q2", 102.09
"Germany", "Nominal", "Index, 2010 = 100", "2011-Q3", 103.21
"Germany", "Nominal", "Index, 2010 = 100", "2011-Q4", 103.4
"Germany", "Nominal", "Index, 2010 = 100", "2012-Q1", 104.23
"Germany", "Nominal", "Index, 2010 = 100", "2012-Q2", 105.63
"Germany", "Nominal", "Index, 2010 = 100", "2012-Q3", 106.0
"Germany", "Nominal", "Index, 2010 = 100", "2012-Q4", 106.93
"Germany", "Nominal", "Index, 2010 = 100", "2013-Q1", 107.77
"Germany", "Nominal", "Index, 2010 = 100", "2013-Q2", 109.07
"Germany", "Nominal", "Index, 2010 = 100", "2013-Q3", 110.0
"Germany", "Nominal", "Index, 2010 = 100", "2013-Q4", 109.54
"Germany", "Nominal", "Index, 2010 = 100", "2014-Q1", 110.38
"Germany", "Nominal", "Index, 2010 = 100", "2014-Q2", 111.77
"Germany", "Nominal", "Index, 2010 = 100", "2014-Q3", 113.45
"Germany", "Nominal", "Index, 2010 = 100", "2014-Q4", 114.29
